classification,start_time,end_time,duration,f0_mean,f0_std,f0_max,f0_min,f0_reg_coef,f0_reg_coef_mse,f0_slope,mean_distances_f0,silence_before_duration,silence_after_duration,energy_reg,energy_reg_mse,energy_max,energy_mean,mean_coeff_0,mean_coeff_1,mean_coeff_2,mean_coeff_3,mean_coeff_4,mean_coeff_5,mean_coeff_6,mean_coeff_7,mean_coeff_8,mean_coeff_9,mean_coeff_10,mean_coeff_11,mean_coeff_12,std_coeff_0,std_coeff_1,std_coeff_2,std_coeff_3,std_coeff_4,std_coeff_5,std_coeff_6,std_coeff_7,std_coeff_8,std_coeff_9,std_coeff_10,std_coeff_11,std_coeff_12,stability_distance
FP,0.92,1.42,0.5,213.3260422,4.747210932,219.5632136,213.9901772,-2.948516076,2.784318115,-0.838065246,0.473161748,0,0,-0.51869389,0.011119809,0.824605455,0.362050444,857.2499705,280.5055963,114.8743147,92.12789528,77.46410436,16.56525501,-42.18140453,-35.63136404,-38.95594668,-20.99928891,-2.895223364,-44.44531406,-51.67198046,10.81634595,2.044661282,4.023409335,2.049716286,2.130211593,1.925788933,2.491956651,1.498472919,1.171379218,1.544277413,1.781346017,1.948727751,1.131895014,26.06015797
FP,1.12,1.62,0.5,212.0329063,4.684264927,217.722618,213.9901772,-0.678850043,1.287222688,-5.685147625,0.450502985,0,0,-0.540146596,0.005475598,0.586469308,0.323147157,767.5384971,259.2038991,146.3690939,103.3347092,77.9072088,25.31317484,-23.18592255,-30.01953719,-39.88115322,-28.09621094,-18.21906404,-32.61012938,-42.74361738,3.126247719,2.506720953,1.422271783,1.738912247,1.871849662,0.955436699,1.829867535,1.526910887,1.199216194,1.013081218,1.375941576,0.99127167,1.18767867,22.54330935
FP,1.22,1.72,0.5,211.9752422,4.721104781,217.722618,214.0376515,-5.64749628,0.9914589,-4.69815401,0.600153316,0,0,-0.792480196,0.007462653,0.589904007,0.286405091,755.5929007,232.6203256,132.2572392,111.8909947,80.43510241,25.7757538,-13.61568899,-23.9493024,-37.08798353,-25.98939877,-21.31977815,-36.33062218,-43.51578381,4.44800103,4.874514148,3.038021466,2.126373576,1.930453566,0.958024018,2.66909913,2.249270747,1.389520962,1.151840892,1.265573547,1.13496861,1.36692953,32.97845692
FP,1.32,1.82,0.5,210.281718,6.331319941,217.3039557,206.171393,-23.91501537,7.331624401,-43.94323636,1.123595059,0,0,-0.583201484,0.007071051,0.508900227,0.241523296,784.0925304,200.8745895,92.67914988,119.3635058,70.12861697,17.85053444,-13.88391067,-17.38178629,-33.99219978,-22.953923,-23.80949235,-36.82999493,-36.20118708,10.03083281,6.077631111,8.78813867,2.178081047,2.892279499,2.027638523,2.800787596,2.543695624,1.507078738,1.474545152,1.149415497,1.265776113,1.98936414,35.31016226
FP,1.42,1.92,0.5,200.9437822,16.41553392,216.0887565,174.9452714,-101.9533745,62.63677438,-107.3037539,1.578794862,0,0,-0.445673505,0.00862036,0.508900227,0.230869255,815.7372515,198.7674823,79.73057764,125.2490015,68.24199253,13.85504947,-16.82321405,-19.61847808,-31.60837994,-17.309276,-21.7206797,-39.49528454,-35.46519705,11.10671419,5.924151314,8.533717257,2.308243452,2.672517586,2.070737363,3.224030858,2.882833175,1.393682728,1.637947338,1.338407918,1.386043639,2.036873691,35.71921608
NFP,1.52,2.02,0.5,191.7618432,18.9897463,214.7713764,174.7876506,-116.4415864,47.22365561,-102.563332,1.5060643,0,0,-0.184680977,0.01044797,0.508900227,0.223014706,837.1928463,196.7669278,71.43392864,129.9097418,71.99688104,16.58224969,-20.64219055,-23.5490835,-30.90732804,-15.15517191,-20.84475795,-42.99385244,-34.34715492,11.1052213,5.826316683,8.062829807,2.345184964,2.820758992,2.249933212,3.250467127,3.060789973,1.363317352,1.640341617,1.346632548,1.406895664,2.058229294,50.13606407
NFP,1.62,2.12,0.5,183.0552555,17.14814141,212.9057316,174.7876506,-80.5743555,65.53973766,-87.6556696,1.522767456,0,0,0.067685906,0.006513879,0.508900227,0.203080628,831.9632434,187.3889652,67.04870902,138.7032899,80.88951433,17.34135908,-23.44733634,-22.88449067,-30.96034203,-14.18692593,-18.25566783,-44.24580573,-32.69675838,11.65864085,5.373196469,7.592966779,2.295643587,3.190469712,2.284401582,3.177156532,3.060721925,1.398704608,1.534809811,1.286789351,1.334013733,2.049663543,47.89348505
NFP,1.72,2.22,0.5,173.6977473,8.511349892,177.3798116,171.9883055,-7.571270697,1.398872733,-7.65061882,0.56444915,0,0,0.141250371,0.004029383,0.508900227,0.205672855,843.0395919,201.8302417,75.21364083,139.544744,84.4556944,15.68327045,-31.63769288,-28.36884403,-35.93145925,-18.77714267,-17.60951167,-41.99050465,-28.1299003,10.96260831,4.769089078,8.068742896,2.518866332,3.298973306,2.331621105,2.374748394,2.605074906,1.408627244,1.915811348,1.276981594,1.275074724,1.537809138,47.58100545
NFP,1.82,2.32,0.5,171.6584323,4.029397996,176.2889011,171.9883055,-7.291272319,1.111460664,-6.714917896,0.483910492,0,0,0.126925543,0.003831291,0.508900227,0.228021762,825.7691375,228.49978,111.6750211,138.8496685,91.60148955,16.15648526,-36.5019082,-40.10275374,-43.16778654,-20.05774791,-10.49166346,-42.56973839,-35.32196362,9.029539113,2.758628764,3.125955192,2.396174625,2.034639676,2.044569388,2.591873014,2.441097171,1.619846435,1.853184745,1.764963393,1.148582634,1.197839771,43.12515026
NFP,1.92,2.42,0.5,170.5154719,4.04801215,175.9796063,169.9047081,-11.69285907,0.77699193,-15.99531712,0.374595272,0,0,0.064819245,0.004001908,0.508900227,0.224469973,813.0440585,233.3314837,122.6985011,133.2399375,82.59317407,10.92902224,-33.37300132,-38.44258987,-47.97850856,-22.5492209,-5.621286975,-37.56419532,-35.50585035,8.082549449,3.073696055,2.417612103,2.613766166,2.772301891,2.522273892,2.301661116,2.27869861,1.566886357,1.638349432,2.067658748,1.278747847,1.120842903,45.45020001
